89,122,124,122,198,127,309,120,399,122,443,124,479,127,479,147,444,145,398,143,310,141,199,148,124,143,88,143
72,149,107,148,204,148,266,146,340,144,445,146,480,146,479,167,444,167,341,165,265,167,204,168,107,169,72,170
103,218,144,220,198,223,296,222,351,226,431,227,472,231,473,254,432,251,350,249,297,245,197,246,144,243,103,241
70,248,105,248,201,252,292,250,351,249,419,249,454,249,455,269,420,269,351,269,292,270,201,272,105,268,70,268
111,281,149,277,225,274,283,271,369,270,480,271,518,271,518,292,480,292,369,292,282,292,226,296,148,299,110,303
74,300,109,300,211,305,299,299,391,299,484,299,520,299,519,319,484,319,390,319,299,319,211,325,110,320,75,320
61,346,104,346,211,352,263,349,350,351,426,347,469,346,469,371,426,372,350,376,263,374,211,376,104,371,61,371
89,400,118,400,184,402,264,403,324,402,399,401,428,400,428,417,398,418,324,419,263,420,184,419,118,417,89,417
115,425,153,425,207,423,294,425,391,425,479,423,517,422,517,443,479,444,391,446,294,446,207,444,154,446,116,446
85,445,126,447,204,454,306,451,397,447,449,449,489,449,488,472,447,472,397,470,306,474,204,477,126,470,85,468
74,479,112,479,211,473,314,478,388,480,477,473,515,472,515,494,477,495,388,502,314,500,211,495,112,501,74,501
85,550,126,549,190,549,272,547,383,554,457,553,497,555,498,578,457,576,383,577,272,570,190,572,126,572,86,573
96,575,126,577,191,579,290,583,350,579,439,578,469,576,469,593,439,596,350,596,290,600,191,596,126,594,96,592
61,606,82,606,102,604,126,604,152,606,174,607,199,610,198,625,174,621,151,620,127,619,103,619,85,620,63,620
